,Session,Nuit,Date,Individu,Observers,Type.de.relevé..T.Hichasse.Higîte.,Time,X,Y,Azimuth,Point.GPS,Nom.GPS,GID
604,1,6,22/06/2022,4,A,T,21:01:00,318663,7670606,262,11,,1
605,1,6,22/06/2022,4,E,T,21:01:00,318041,7669855,340,33,Pimit Célèstine,1
606,1,6,22/06/2022,4,J,T,21:01:00,317424,7672499,172,8,,1
608,1,6,22/06/2022,4,A,T,21:11:00,318663,7670606,250,11,,3
609,1,6,22/06/2022,4,B,T,21:11:00,318119,7670302,190,,,3
610,1,6,22/06/2022,4,E,T,21:11:00,318041,7669855,70,33,Pimit Célèstine,3
611,1,6,22/06/2022,4,J,T,21:11:00,317424,7672499,216,8,,3
612,1,6,22/06/2022,4,A,T,21:16:00,318663,7670606,240,11,,4
613,1,6,22/06/2022,4,E,T,21:16:00,318041,7669855,90,33,Pimit Célèstine,4
614,1,6,22/06/2022,4,A,T,21:20:00,318663,7670606,215,11,,5
615,1,6,22/06/2022,4,E,T,21:20:00,318041,7669855,90,33,Pimit Célèstine,5
616,1,6,22/06/2022,4,J,T,21:20:00,317424,7672499,184,8,,5
617,1,6,22/06/2022,4,A,T,21:25:00,318663,7670606,225,11,,6
618,1,6,22/06/2022,4,E,T,21:25:00,318041,7669855,100,33,Pimit Célèstine,6
619,1,6,22/06/2022,4,A,T,21:29:00,318663,7670606,234,11,,7
620,1,6,22/06/2022,4,E,T,21:29:00,318041,7669855,120,33,Pimit Célèstine,7
621,1,6,22/06/2022,4,J,T,21:29:00,317424,7672499,180,8,,7
622,1,6,22/06/2022,4,A,T,21:33:00,318663,7670606,217,11,,8
623,1,6,22/06/2022,4,B,T,21:33:00,317177,7671906,158,,,8
624,1,6,22/06/2022,4,E,T,21:33:00,318041,7669855,80,33,Pimit Célèstine,8
625,1,6,22/06/2022,4,A,T,21:37:00,318663,7670606,231,11,,9
626,1,6,22/06/2022,4,B,T,21:37:00,317177,7671906,210,,,9
627,1,6,22/06/2022,4,E,T,21:37:00,318041,7669855,90,33,Pimit Célèstine,9
628,1,6,22/06/2022,4,A,T,21:41:00,318663,7670606,200,11,,10
629,1,6,22/06/2022,4,B,T,21:41:00,317177,7671906,170,,,10
630,1,6,22/06/2022,4,E,T,21:41:00,318041,7669855,90,33,Pimit Célèstine,10
631,1,6,22/06/2022,4,A,T,21:44:00,318663,7670606,211,11,,11
632,1,6,22/06/2022,4,B,T,21:44:00,317177,7671906,164,,,11
633,1,6,22/06/2022,4,E,T,21:44:00,318041,7669855,84,33,Pimit Célèstine,11
634,1,6,22/06/2022,4,A,T,21:46:00,318663,7670606,198,11,,12
635,1,6,22/06/2022,4,B,T,21:46:00,317177,7671906,167,,,12
636,1,6,22/06/2022,4,E,T,21:46:00,318041,7669855,80,33,Pimit Célèstine,12
637,1,6,22/06/2022,4,A,T,21:50:00,318663,7670606,202,11,,13
638,1,6,22/06/2022,4,B,T,21:50:00,317177,7671906,173,,,13
639,1,6,22/06/2022,4,J,T,21:50:00,317424,7672499,152,8,,13
640,1,6,22/06/2022,4,A,T,21:54:00,318663,7670606,227,11,,14
641,1,6,22/06/2022,4,B,T,21:54:00,317177,7671906,152,,,14
642,1,6,22/06/2022,4,J,T,21:54:00,317424,7672499,182,8,,14
643,1,6,22/06/2022,4,A,T,21:57:00,318663,7670606,226,11,,15
644,1,6,22/06/2022,4,B,T,21:57:00,317177,7671906,163,,,15
645,1,6,22/06/2022,4,E,T,21:57:00,318398,7669733,320,34,Pimit Célèstine,15
646,1,6,22/06/2022,4,J,T,21:57:00,317424,7672499,170,8,,15
888,1,7,23/06/2022,4,A,T,18:29:00,318663,7670606,298,11,,25
889,1,7,23/06/2022,4,B,T,18:29:00,316191,7670165,78,,,25
890,1,7,23/06/2022,4,J,T,18:29:00,317018,7671673,356,187,Pimit Camille,25
891,1,7,23/06/2022,4,A,T,18:32:00,318663,7670606,263,11,,26
892,1,7,23/06/2022,4,E,T,18:32:00,317252,7671954,164,35,Pimit Célèstine,26
893,1,7,23/06/2022,4,J,T,18:32:00,317018,7671673,20,187,Pimit Camille,26
894,1,7,23/06/2022,4,A,T,18:36:00,318663,7670606,286,11,,27
895,1,7,23/06/2022,4,E,T,18:36:00,317252,7671954,166,35,Pimit Célèstine,27
896,1,7,23/06/2022,4,A,T,18:42:00,318663,7670606,268,11,,28
897,1,7,23/06/2022,4,E,T,18:42:00,317252,7671954,130,35,Pimit Célèstine,28
898,1,7,23/06/2022,4,J,T,18:42:00,317018,7671673,48,187,Pimit Camille,28
899,1,7,23/06/2022,4,A,T,18:50:00,318663,7670606,242,11,,29
900,1,7,23/06/2022,4,E,T,18:50:00,317252,7671954,146,35,Pimit Célèstine,29
901,1,7,23/06/2022,4,J,T,18:50:00,317018,7671673,48,187,Pimit Camille,29
902,1,7,23/06/2022,4,A,T,18:55:00,318663,7670606,206,11,,30
903,1,7,23/06/2022,4,E,T,18:55:00,317252,7671954,190,35,Pimit Célèstine,30
904,1,7,23/06/2022,4,J,T,18:55:00,317018,7671673,69,187,Pimit Camille,30
