"";"GID";"X";"Y"
"X1";1;317811,22873735;7670486,29135577
"X2";1;317708,889136647;7670471,90846287
"X3";1;317811,228737345;7670486,29135577
"X4";1;317641,222945621;7670953,37842972
"X5";1;317708,889136644;7670471,90846287
"X6";1;317641,222945621;7670953,37842972
"X7";3;318138,972483404;7670415,26958202
"X8";3;-2362635716657643520;-859929075270025216
"X9";3;318138,972483405;7670415,26958202
"X10";3;318040,125730985;7669854,6817921
"X11";3;-2362635716657643520;-859929075270025216
"X12";3;318040,125730986;7669854,6817921
"X15";4;317362,229843516;7669855
"X19";5;Inf;7669855
"X20";5;317139,481049688;7668430,18944788
"X21";5;318137,144138805;7669855
"X22";5;317239,113509221;7669855
"X23";5;317139,481049688;7668430,18944788
"X25";6;317931,33661378;7669874,33661379
"X27";6;317931,336613786;7669874,33661379
"X31";7;317811,617225413;7669987,43420666
"X32";7;317424;7669705,8138078
"X33";7;317811,617225418;7669987,43420666
"X34";7;317424;7670211,22511609
"X35";7;317423,999999999;7669705,8138078
"X36";7;317424;7670211,22511609
"X37";8;318037,566883154;7669776,02222102
"X38";8;318105,674307108;7669866,4038253
"X39";8;318037,566883155;7669776,02222102
"X40";8;318008,008152316;7669849,18264711
"X41";8;318105,674307116;7669866,4038253
"X42";8;318008,00815232;7669849,18264711
"X43";9;314462,667072819;7667204,63746146
"X44";9;Inf;7669855
"X45";9;314462,667072817;7667204,63746146
"X47";9;317735,592235443;7669855
"X48";9;315992,854597892;7669855
"X49";10;317816,375861983;7668279,91929803
"X51";10;317816,375861983;7668279,91929803
"X53";10;318389,658354066;7669855
"X54";10;317538,646637433;7669855
"X55";11;317909,403625842;7669351,80501652
"X56";11;318223,264205747;7669874,15673996
"X57";11;317909,403625842;7669351,80501651
"X58";11;317773,186199876;7669826,85163534
"X59";11;318223,264205741;7669874,15673996
"X60";11;317773,186199873;7669826,85163534
"X61";12;317969,726598264;7668472,32386472
"X62";12;318441,956979088;7669925,69953352
"X63";12;317969,726598264;7668472,32386472
"X64";12;317665,785020599;7669788,83947557
"X65";12;318441,956979083;7669925,69953352
"X66";12;317665,785020599;7669788,83947557
"X67";13;317645,761273062;7668088,24580017
"X68";13;318562,623776648;7670357,56012919
"X69";13;317645,761273062;7668088,24580017
"X70";13;317008,161621674;7673281,07824343
"X71";13;318562,623776648;7670357,56012919
"X72";13;317008,161621674;7673281,07824342
"X73";14;318131,670037695;7670110,52679443
"X74";14;317313,964806552;7669348,00433038
"X75";14;318131,670037695;7670110,52679443
"X76";14;317389,345868246;7671506,63550578
"X77";14;317313,964806552;7669348,00433038
"X78";14;317389,345868246;7671506,63550578
"X79";15;317822,576961361;7669794,4129055
"X80";15;318111,970354898;7670073,87685714
"X81";15;317822,576961362;7669794,4129055
"X82";15;317522,278822464;7670776,64385944
"X83";15;318111,970354897;7670073,87685714
"X84";15;317522,278822463;7670776,64385944
"X85";25;318549,546179449;7670666,32446644
"X86";25;317031,968958387;7671473,23458816
"X87";25;318549,546179452;7670666,32446644
"X88";25;317109,793238495;7670360,29553166
"X89";25;317031,968958385;7671473,23458816
"X90";25;317109,7932385;7670360,29553166
"X91";26;317673,375390508;7670484,48937686
"X92";26;316534,522248099;7670344,65579384
"X93";26;317673,375390505;7670484,48937686
"X94";26;317193,954131028;7672156,43000186
"X95";26;316534,522248105;7670344,65579384
"X96";26;317193,954131028;7672156,43000186
"X97";27;317505,32794185;7670937,9571209
"X99";27;317505,327941847;7670937,9571209
"X103";28;318850,673445933;7670612,55370114
"X104";28;315718,789837834;7670503,18591559
"X105";28;318850,673445945;7670612,55370115
"X106";28;317292,416961818;7671920,08614224
"X107";28;315718,789837872;7670503,18591559
"X108";28;317292,416961819;7671920,08614224
"X109";29;318293,688349236;7670409,63351207
"X110";29;311751,684874865;7666931,18856278
"X111";29;318293,688349238;7670409,63351207
"X112";29;317281,503351186;7671910,25948309
"X113";29;311751,684874862;7666931,18856278
"X114";29;317281,503351185;7671910,25948309
"X115";30;316080,775334677;7665311,65484887
"X116";30;319682,212533792;7672695,69537341
"X117";30;316080,775334678;7665311,65484887
"X118";30;317215,843255135;7671748,94491022
"X119";30;319682,212533789;7672695,69537341
"X120";30;317215,843255141;7671748,94491022
"X121";31;317949,511703797;7669418,55606773
"X122";31;318467,623135863;7670280,83829369
"X123";31;317949,511703795;7669418,55606773
"X124";31;319604,506636387;7668716,05239789
"X125";31;318467,623135864;7670280,83829369
"X126";31;319604,506636385;7668716,05239789
"X127";32;316801,192137741;7669487,31297537
"X128";32;317602,089997944;7669968,54095943
"X129";32;316801,192137742;7669487,31297537
"X130";32;317902,641315983;7668264,02973357
"X131";32;317602,089997943;7669968,54095943
"X132";32;317902,641315982;7668264,02973357
"X133";33;317342,08758002;7669374,2292409
"X134";33;319915,731490117;7671774,19101342
"X135";33;317342,08758002;7669374,2292409
"X136";33;317261,515778432;7671681,50375837
"X137";33;319915,73149012;7671774,19101342
"X138";33;317261,515778441;7671681,50375837
"X139";34;317554,624083418;7669800,71775959
"X140";34;319626,93306903;7671306,3383688
"X141";34;317554,624083418;7669800,71775959
"X142";34;317297,002760693;7671633,78871913
"X143";34;319626,933069025;7671306,3383688
"X144";34;317297,002760695;7671633,78871913
"X145";35;317948,004824451;7669811,91740999
"X146";35;321113,688852122;7673327,76570912
"X147";35;317948,00482445;7669811,91740999
"X148";35;317305,55353428;7671789,17916918
"X149";35;321113,688852123;7673327,76570912
"X150";35;317305,553534282;7671789,17916918
"X151";36;323326,866001585;7674120,47511463
"X152";36;318384,083216589;7670395,82112822
